R134A             G    300.00   1500.00   1000.00    1
 4.07866024E+00 2.37677599E-02-7.99340131E-06 2.59285082E-09-3.79485912E-13    2
-2.24277574E+03-3.01476179E+01 2.50834630E+00 3.10375157E-02-2.06956254E-05    3
 1.24692870E-08-3.25313984E-12-1.96764326E+03-2.27926492E+01                   4
R245FA            G    300.00   1500.00   1000.00    1
-4.75786110E-01 5.82697189E-02-4.59565380E-05 1.78089967E-08-2.75893516E-12    2
-2.03345315E+03-1.27317438E+01 4.15104127E+00 3.42808952E-02-6.54096718E-07    3
-1.93367242E-08 8.44634088E-12-2.72130738E+03-3.37745440E+01                   4
R245CA            G    300.00   1500.00   1000.00    1
 5.74010822E+00 4.29565663E-02-3.46657121E-05 1.37425106E-08-2.17483476E-12    2
-3.52174264E+03-4.46423946E+01-1.75687327E+00 7.70700964E-02-9.32960560E-05    3
 5.86505338E-08-1.50690626E-11-2.18623845E+03-9.39922338E+00                   4
R236FA            G    300.00   1500.00   1000.00    1
 2.17960854E+01-3.38537610E-02 9.01702823E-05-4.82353739E-08 8.58682463E-12    2
-6.13245219E+03-1.18911582E+02 5.10239764E+00 3.80704121E-02-2.54992930E-05    3
 3.41060053E-08-1.33154647E-11-3.04921287E+03-3.96566120E+01                   4
R236EA            G    300.00   1500.00   1000.00    1
 9.23894145E+00 3.61303235E-02-3.22655021E-05 1.44213257E-08-2.52578558E-12    2
-4.40713835E+03-6.29597957E+01 2.50086392E+00 5.88526124E-02-5.86599226E-05    3
 2.59956086E-08-3.68985927E-12-2.89282105E+03-2.95069595E+01                   4
