"energy-check-pressure-inlet-rfile"
"Iteration" "energy-check-pressure-inlet"
20393 499999.9999999998
20394 500000.0000000003
20395 500000.0000000005
20396 499999.9999999999
20397 500000.0000000002
20398 499999.9999999998
20399 500000.0000000002
20400 499999.9999999999
20401 499999.9999999997
20402 500000.0000000001
20403 499999.9999999998
20404 499999.9999999998
20405 500000.0000000002
20406 499999.9999999998
20407 499999.9999999998
20408 500000.0000000001
20409 500000.0000000005
20410 500000.0000000001
20411 500000.0000000001
20412 499999.9999999999
20413 500000.0000000002
20414 499999.9999999998
20415 499999.9999999998
20416 500000.0000000002
20417 499999.9999999994
20418 499999.9999999999
20419 500000.0000000002
20420 500000.0000000003
20421 499999.9999999999
20422 500000.0000000004
20423 500000
20424 499999.9999999998
20425 500000.0000000002
20426 499999.9999999994
20427 499999.9999999997
20428 499999.9999999999
20429 499999.9999999998
20430 500000.0000000005
20431 499999.9999999999
20432 499999.9999999999
20433 499999.9999999997
20434 500000.0000000001
20435 499999.9999999999
20436 500000.0000000001
20437 499999.9999999999
20438 500000
20439 500000.0000000001
20440 500000.0000000001
20441 500000
20442 500000.0000000002
20443 500000.0000000002
20444 500000.0000000001
20445 499999.9999999998
20446 500000.0000000002
20447 500000.0000000002
20448 500000.0000000003
20449 500000.0000000001
20450 499999.9999999998
20451 500000.0000000004
20452 499999.9999999999
20453 500000.0000000001
20454 499999.9999999998
20455 500000.0000000001
20456 500000.0000000001
20457 499999.9999999999
20458 499999.9999999997
20459 500000.0000000003
20460 500000.0000000002
20461 499999.9999999999
20462 500000
20463 499999.9999999999
20464 500000.0000000002
20465 500000.0000000001
20466 500000.0000000001
20467 500000.0000000005
20468 499999.9999999999
20469 500000.0000000001
20470 500000.0000000003
20471 500000
20472 499999.9999999999
20473 500000.0000000001
20474 500000.0000000003
20475 499999.9999999998
20476 499999.9999999999
20477 500000.0000000003
20478 500000.0000000001
20479 500000.0000000004
20480 500000.0000000004
20481 500000.0000000002
20482 500000
20483 499999.9999999999
20484 500000.0000000005
20485 499999.9999999998
20486 499999.9999999997
20487 500000
20488 500000.0000000001
20489 500000.0000000003
20490 499999.9999999995
20491 500000.0000000002
20492 500000
20493 500000.0000000003
20494 499999.9999999995
20495 499999.9999999997
20496 500000
20497 499999.9999999997
20498 500000
20499 500000.0000000002
20500 500000.0000000001
20501 499999.9999999999
20502 500000.0000000001
20503 499999.9999999998
20504 500000.0000000001
20505 500000.0000000001
20506 500000.0000000001
20507 500000.0000000007
20508 499999.9999999998
20509 500000.0000000001
20510 499999.9999999996
20511 499999.9999999999
20512 500000.0000000001
20513 499999.9999999997
20514 500000.0000000001
20515 500000
20516 499999.9999999999
20517 500000.0000000005
20518 500000.0000000001
20519 500000.0000000004
20520 500000.0000000001
20521 499999.9999999995
20522 499999.9999999998
20523 499999.9999999999
20524 499999.9999999997
20525 499999.9999999998
20526 500000.0000000003
20527 500000.0000000001
20528 500000.0000000001
20529 500000.0000000002
20530 500000.0000000001
20531 500000.0000000003
20532 499999.9999999997
20533 500000
20534 500000.0000000006
20535 500000.0000000001
20536 499999.9999999999
20537 500000.0000000002
20538 500000.0000000001
20539 500000.0000000004
20540 499999.9999999996
20541 499999.9999999998
20542 499999.9999999999
20543 499999.9999999995
20544 500000.0000000001
20545 500000.0000000002
20546 499999.9999999997
20547 500000.0000000002
20548 500000.0000000003
20549 500000.0000000002
20550 500000.0000000001
20551 500000
20552 499999.9999999998
20553 500000.0000000001
20554 500000
20555 500000.0000000006
20556 500000.0000000002
20557 499999.9999999998
20558 499999.9999999999
20559 500000.0000000003
20560 500000.0000000004
20561 500000.0000000002
20562 500000.0000000002
20563 500000.0000000002
20564 499999.9999999997
20565 500000
20566 500000
20567 499999.9999999999
20568 499999.9999999997
20569 499999.9999999998
20570 500000.0000000002
20571 499999.9999999998
20572 499999.9999999999
20573 500000.0000000001
20574 499999.9999999999
20575 499999.9999999999
20576 500000.0000000001
20577 500000.0000000003
20578 500000
20579 499999.9999999998
20580 500000.0000000001
20581 500000.0000000003
20582 500000.0000000003
20583 500000.0000000001
20584 500000
20585 499999.9999999998
20586 499999.9999999996
20587 500000.0000000004
20588 500000.0000000002
20589 499999.9999999999
20590 499999.9999999999
20591 500000.0000000003
20592 499999.9999999999
20593 500000.0000000002
20594 499999.9999999998
20595 499999.9999999999
20596 500000.0000000001
20597 499999.9999999999
20598 499999.9999999999
20599 500000.0000000001
20600 500000.0000000003
20601 500000.0000000003
20602 500000.0000000004
20603 500000.0000000003
20604 500000.0000000001
20605 499999.9999999999
20606 499999.9999999998
20607 500000.0000000001
20608 500000.0000000002
20609 500000.0000000004
20610 499999.9999999999
20611 500000.0000000003
20612 499999.9999999999
20613 500000
20614 500000.0000000003
20615 499999.9999999995
20616 500000.0000000004
20617 499999.9999999995
20618 499999.9999999998
20619 500000.0000000002
20620 499999.9999999998
20621 499999.9999999998
20622 500000.0000000001
20623 500000.0000000002
20624 500000.0000000004
20625 500000.0000000001
20626 499999.9999999999
20627 499999.9999999999
20628 500000.0000000001
20629 500000.0000000003
20630 499999.9999999998
20631 499999.9999999998
20632 500000.0000000001
20633 499999.9999999997
20634 500000.0000000003
20635 499999.9999999998
20636 500000.0000000003
20637 499999.9999999997
20638 500000.0000000002
20639 500000
20640 499999.9999999999
20641 499999.9999999997
20642 499999.9999999999
20643 499999.9999999997
20644 499999.9999999995
20645 499999.9999999998
20646 500000.0000000002
20647 499999.9999999995
20648 500000.0000000003
20649 500000.0000000001
20650 500000
20651 499999.9999999999
20652 499999.9999999999
20653 500000
20654 500000.0000000001
20655 499999.9999999998
20656 499999.9999999999
20657 500000
20658 499999.9999999999
20659 500000.0000000001
20660 500000.0000000001
20661 499999.9999999998
20662 500000.0000000003
20663 499999.9999999997
20664 500000.0000000001
20665 500000
20666 499999.9999999999
20667 499999.9999999999
20668 500000.0000000003
20669 500000.0000000003
20670 500000
20671 499999.9999999999
20672 499999.9999999998
20673 499999.9999999999
20674 500000.0000000001
20675 499999.9999999999
20676 500000.0000000002
20677 500000
20678 500000.0000000003
20679 500000.0000000003
20680 500000.0000000002
20681 500000.0000000001
20682 499999.9999999999
20683 499999.9999999997
20684 500000.0000000005
20685 499999.9999999999
20686 500000.0000000001
20687 500000.0000000001
20688 499999.9999999999
20689 500000.0000000002
20690 499999.9999999999
20691 499999.9999999999
20692 499999.9999999995
20693 500000.0000000003
20694 499999.9999999998
20695 500000.0000000001
20696 499999.9999999999
20697 500000.0000000001
20698 500000.0000000002
20699 499999.9999999999
20700 500000.0000000002
20701 500000.0000000002
20702 499999.9999999997
20703 500000.0000000001
20704 500000.0000000002
20705 500000
20706 499999.9999999999
20707 499999.9999999998
20708 499999.9999999999
20709 500000.0000000001
20710 499999.9999999995
20711 500000.0000000001
20712 500000.0000000002
20713 500000.0000000006
20714 500000
20715 500000
20716 499999.9999999998
20717 499999.9999999999
20718 500000.0000000002
20719 500000.0000000001
20720 500000.0000000001
20721 499999.9999999999
20722 500000.0000000003
20723 499999.9999999999
20724 499999.9999999999
20725 500000
20726 500000.0000000003
20727 500000
20728 499999.9999999997
20729 500000.0000000001
20730 500000.0000000002
20731 499999.9999999998
20732 499999.9999999998
20733 499999.9999999999
20734 500000.0000000001
20735 500000
20736 500000.0000000001
20737 500000.0000000001
20738 499999.9999999997
20739 499999.9999999997
20740 499999.9999999997
20741 499999.9999999997
20742 499999.9999999998
20743 500000.0000000001
20744 499999.9999999997
20745 499999.9999999998
20746 499999.9999999999
20747 499999.9999999998
20748 500000.0000000001
20749 499999.9999999995
20750 499999.9999999999
20751 499999.9999999999
20752 499999.9999999995
20753 500000
20754 500000.0000000001
20755 499999.9999999999
20756 499999.9999999998
20757 500000.0000000001
20758 499999.9999999997
20759 499999.9999999997
20760 500000.0000000001
20761 499999.9999999998
20762 500000
20763 500000.0000000002
20764 500000.0000000003
20765 500000
20766 500000.0000000002
20767 499999.9999999998
20768 499999.9999999998
20769 500000.0000000002
20770 500000.0000000002
20771 500000.0000000002
20772 500000.0000000002
20773 499999.9999999997
20774 499999.9999999999
20775 500000.0000000005
20776 499999.9999999999
20777 499999.9999999999
20778 499999.9999999999
20779 499999.9999999998
20780 499999.9999999998
20781 499999.9999999999
20782 500000.0000000004
20783 499999.9999999999
20784 500000.0000000001
20785 500000
20786 500000
20787 500000.0000000001
20788 499999.9999999999
20789 500000.0000000006
20790 500000.0000000002
20791 499999.9999999996
20792 499999.9999999998
20793 500000.0000000001
20794 500000.0000000002
20795 499999.9999999999
20796 499999.9999999998
20797 500000.0000000001
20798 500000.0000000001
20799 499999.9999999997
20800 500000.0000000001
20801 500000.0000000001
20802 499999.9999999999
20803 499999.9999999999
20804 500000
20805 500000
20806 500000
20807 500000.0000000003
20808 500000.0000000002
20809 500000.0000000003
20810 500000.0000000002
20811 499999.9999999996
20812 499999.9999999998
20813 499999.9999999997
20814 500000
20815 499999.9999999999
20816 500000.0000000001
20817 499999.9999999999
20818 500000.0000000002
20819 500000
20820 500000.0000000001
20821 499999.9999999995
20822 499999.9999999999
20823 500000.0000000003
20824 499999.9999999999
20825 500000
20826 500000.0000000001
20827 500000.0000000002
20828 500000.0000000002
20829 500000.0000000002
20830 499999.9999999998
20831 499999.9999999998
20832 500000.0000000002
20833 499999.9999999997
20834 499999.9999999999
20835 500000.0000000001
20836 499999.9999999999
20837 499999.9999999997
20838 499999.9999999999
20839 499999.9999999999
20840 500000.0000000003
20841 500000.0000000003
20842 500000.0000000002
20843 499999.9999999997
20844 499999.9999999997
20845 499999.9999999999
20846 499999.9999999999
20847 499999.9999999998
20848 500000.0000000002
20849 500000.0000000004
20850 499999.9999999998
20851 499999.9999999997
20852 500000.0000000002
20853 500000.0000000003
20854 499999.9999999995
20855 499999.9999999995
20856 500000
20857 500000.0000000003
20858 499999.9999999998
20859 499999.9999999997
20860 500000.0000000003
20861 500000.0000000005
20862 500000.0000000001
20863 500000.0000000003
20864 500000
20865 499999.9999999999
20866 499999.9999999998
20867 499999.9999999998
20868 499999.9999999998
20869 500000.0000000002
20870 500000.0000000001
20871 499999.9999999999
20872 499999.9999999997
20873 500000.0000000001
20874 499999.9999999999
20875 500000.0000000003
20876 499999.9999999999
20877 499999.9999999998
20878 499999.9999999997
20879 499999.9999999997
20880 499999.9999999999
20881 500000.0000000001
20882 500000.0000000001
20883 499999.9999999999
20884 499999.9999999994
20885 500000.0000000001
20886 499999.9999999999
20887 500000.0000000001
20888 499999.9999999999
20889 500000.0000000003
20890 500000.0000000003
20891 500000.0000000001
20892 499999.9999999997
20893 499999.9999999999
20894 499999.9999999999
20895 499999.9999999999
20896 500000.0000000002
20897 500000
20898 500000.0000000001
20899 500000.0000000001
20900 499999.9999999999
20901 500000
20902 499999.9999999999
20903 500000.0000000002
20904 500000.0000000002
20905 499999.9999999999
20906 499999.9999999997
20907 499999.9999999998
20908 499999.9999999998
20909 500000
20910 499999.9999999998
20911 500000.0000000002
20912 499999.9999999999
20913 499999.9999999997
20914 500000
20915 500000.0000000001
20916 500000.0000000002
20917 500000.0000000002
20918 500000.0000000001
20919 500000.0000000002
20920 499999.9999999999
20921 499999.9999999999
20922 499999.9999999999
20923 500000.0000000002
20924 500000.0000000002
20925 500000
20926 500000.0000000001
20927 500000.0000000003
20928 499999.9999999996
20929 500000.0000000006
20930 500000.0000000001
20931 499999.9999999997
20932 500000
20933 499999.9999999997
20934 500000.0000000004
20935 500000.0000000002
20936 499999.9999999999
20937 500000.0000000002
20938 499999.9999999998
20939 500000.0000000001
20940 500000.0000000002
20941 499999.9999999999
20942 500000.0000000002
20943 499999.9999999998
20944 499999.9999999999
20945 500000
20946 499999.9999999995
20947 500000.0000000002
20948 499999.9999999999
20949 500000
20950 500000.0000000001
20951 500000.0000000002
20952 500000.0000000006
20953 499999.9999999999
20954 500000.0000000001
20955 500000.0000000002
20956 500000.0000000001
20957 500000.0000000001
20958 499999.9999999999
20959 499999.9999999999
20960 500000.0000000001
20961 499999.9999999997
20962 499999.9999999997
20963 500000.0000000002
20964 499999.9999999998
20965 500000.0000000002
20966 499999.9999999997
20967 500000.0000000001
20968 500000.0000000004
20969 499999.9999999999
20970 500000.0000000003
20971 499999.9999999997
20972 500000
20973 500000.0000000001
20974 500000.0000000001
20975 499999.9999999999
20976 499999.9999999999
20977 500000.0000000001
20978 500000.0000000001
20979 500000.0000000002
20980 500000.0000000004
20981 499999.9999999999
20982 499999.9999999999
20983 499999.9999999998
20984 500000.0000000002
20985 500000.0000000001
20986 500000.0000000001
20987 500000.0000000002
20988 500000
20989 500000.0000000002
20990 500000.0000000001
20991 499999.9999999995
20992 500000
20993 499999.9999999998
20994 500000.0000000001
20995 500000.0000000001
20996 499999.9999999998
20997 500000
20998 499999.9999999997
20999 500000.0000000003
21000 500000.0000000002
21001 500000.0000000002
21002 500000.0000000003
21003 500000.0000000002
21004 499999.9999999997
21005 500000.0000000002
21006 500000.0000000003
21007 500000.0000000002
21008 499999.9999999997
21009 500000.0000000002
21010 500000.0000000001
21011 499999.9999999997
21012 500000.0000000002
21013 500000.0000000001
21014 500000.0000000001
21015 500000.0000000002
21016 499999.9999999998
21017 499999.9999999998
21018 499999.9999999998
21019 500000.0000000001
21020 499999.9999999998
21021 500000.0000000001
21022 500000.0000000003
21023 500000
21024 500000.0000000001
21025 500000.0000000001
21026 499999.9999999998
21027 499999.9999999999
21028 499999.9999999996
21029 499999.9999999999
21030 499999.9999999997
21031 500000.0000000002
21032 500000.0000000005
21033 500000.0000000002
21034 499999.9999999999
21035 499999.9999999999
21036 499999.9999999998
21037 500000.0000000001
21038 500000.0000000003
21039 500000.0000000002
21040 500000.0000000001
21041 500000.0000000002
21042 500000.0000000001
21043 499999.9999999995
21044 499999.9999999999
21045 499999.9999999999
21046 500000
21047 500000
21048 499999.9999999997
21049 499999.9999999997
21050 500000.0000000002
21051 499999.9999999997
21052 499999.9999999999
21053 500000.0000000002
21054 499999.9999999999
21055 500000.0000000001
21056 499999.9999999998
21057 500000.0000000002
21058 499999.9999999998
21059 500000.0000000001
21060 499999.9999999999
21061 499999.9999999999
21062 500000.0000000002
21063 499999.9999999999
21064 499999.9999999998
21065 499999.9999999999
21066 500000.0000000001
21067 499999.9999999999
21068 499999.9999999999
21069 500000.0000000003
21070 500000.0000000002
21071 499999.9999999998
21072 499999.9999999999
21073 499999.9999999998
21074 500000.0000000002
21075 499999.9999999997
21076 499999.9999999994
21077 499999.9999999999
21078 499999.9999999997
21079 499999.9999999999
21080 499999.9999999999
21081 499999.9999999999
21082 499999.9999999997
21083 499999.9999999998
21084 499999.9999999999
21085 499999.9999999998
21086 500000.0000000002
21087 499999.9999999998
21088 499999.9999999999
21089 499999.9999999999
21090 499999.9999999999
21091 499999.9999999999
21092 500000.0000000001
21093 499999.9999999998
21094 499999.9999999998
21095 500000.0000000001
21096 500000
21097 499999.9999999997
21098 500000.0000000005
21099 499999.9999999999
21100 500000.0000000003
21101 500000.0000000001
21102 499999.9999999998
21103 500000.0000000002
21104 500000.0000000001
21105 500000.0000000001
21106 500000.0000000004
21107 500000.0000000001
21108 499999.9999999997
21109 500000.0000000006
21110 500000
21111 499999.9999999996
21112 500000.0000000002
21113 500000.0000000001
21114 500000.0000000003
21115 500000
21116 499999.9999999997
21117 499999.9999999998
21118 500000.0000000001
21119 499999.9999999999
21120 499999.9999999997
21121 499999.9999999997
21122 500000.0000000003
21123 500000.0000000003
21124 500000.0000000001
21125 499999.9999999999
21126 500000.0000000001
21127 499999.9999999998
21128 499999.9999999998
21129 500000.0000000001
21130 500000.0000000001
21131 500000.0000000002
21132 500000.0000000003
21133 500000.0000000003
21134 499999.9999999998
21135 500000.0000000003
21136 499999.9999999998
21137 499999.9999999999
21138 499999.9999999998
21139 500000.0000000004
21140 499999.9999999998
21141 500000
21142 500000.0000000002
21143 499999.9999999997
21144 500000.0000000002
21145 500000.0000000003
21146 500000.0000000002
21147 499999.9999999998
21148 499999.9999999999
21149 499999.9999999998
21150 499999.9999999998
21151 500000.0000000001
21152 500000.0000000001
21153 500000
21154 500000.0000000001
21155 499999.9999999999
21156 500000.0000000001
21157 500000.0000000001
21158 500000.0000000003
21159 500000.0000000002
21160 500000.0000000002
21161 499999.9999999998
21162 499999.9999999996
21163 500000.0000000002
21164 500000.0000000001
21165 500000.0000000004
21166 500000.0000000002
21167 499999.9999999999
21168 500000.0000000002
21169 499999.9999999998
21170 500000
21171 500000.0000000006
21172 499999.9999999995
21173 500000.0000000003
21174 499999.9999999998
21175 500000.0000000002
21176 499999.9999999994
21177 500000.0000000001
21178 500000.0000000004
21179 499999.9999999999
21180 499999.9999999999
21181 499999.9999999999
21182 500000.0000000002
21183 500000.0000000004
21184 500000.0000000002
21185 500000.0000000001
21186 499999.9999999999
21187 500000.0000000001
21188 500000.0000000004
21189 499999.9999999999
21190 500000.0000000002
21191 499999.9999999999
21192 499999.9999999999
21193 500000.0000000005
21194 499999.9999999999
21195 500000.0000000001
21196 499999.9999999992
21197 500000.0000000001
21198 499999.9999999998
21199 500000.0000000002
21200 500000.0000000001
21201 500000.0000000001
21202 499999.9999999998
21203 500000.0000000001
21204 499999.9999999998
21205 499999.9999999997
21206 499999.9999999997
21207 500000
21208 500000.0000000002
21209 499999.9999999997
21210 500000.0000000001
21211 500000.0000000002
21212 499999.9999999998
21213 500000.0000000003
21214 499999.9999999999
21215 499999.9999999998
21216 500000.0000000003
21217 499999.9999999999
21218 500000.0000000006
21219 500000.0000000001
21220 500000.0000000001
21221 499999.9999999999
21222 500000.0000000001
21223 500000
21224 499999.9999999995
21225 500000
21226 500000.0000000002
21227 499999.9999999997
21228 500000.0000000001
21229 500000.0000000002
21230 500000.0000000005
21231 500000
21232 499999.9999999994
21233 499999.9999999999
21234 499999.9999999997
21235 499999.9999999998
21236 500000.0000000005
21237 500000.0000000003
21238 499999.9999999995
21239 499999.9999999999
21240 500000.0000000002
21241 499999.9999999998
21242 500000.0000000001
21243 500000.0000000001
21244 499999.9999999998
21245 500000.0000000002
21246 500000.0000000001
21247 499999.9999999999
21248 500000
21249 500000
21250 500000.0000000001
21251 500000.0000000002
21252 499999.9999999998
21253 500000.0000000002
21254 500000.0000000002
21255 499999.9999999998
21256 499999.9999999997
21257 500000.0000000002
21258 499999.9999999998
21259 500000
21260 500000.0000000002
21261 499999.9999999997
21262 500000
21263 499999.9999999999
21264 499999.9999999999
21265 499999.9999999999
21266 500000.0000000004
21267 499999.9999999998
21268 500000.0000000001
21269 499999.9999999999
21270 500000
21271 499999.9999999999
21272 499999.9999999999
21273 500000.0000000001
21274 500000.0000000006
21275 499999.9999999999
21276 499999.9999999998
21277 500000.0000000001
21278 500000
21279 500000.0000000001
21280 500000
21281 500000.0000000001
21282 499999.9999999999
21283 499999.9999999997
21284 499999.9999999998
21285 499999.9999999996
21286 499999.9999999998
21287 499999.9999999997
21288 499999.9999999999
21289 500000.0000000003
21290 500000.0000000003
21291 500000.0000000001
21292 500000
21293 499999.9999999998
21294 500000
21295 500000.0000000001
21296 499999.9999999998
21297 499999.9999999997
21298 500000.0000000001
21299 499999.9999999998
21300 500000.0000000001
21301 500000.0000000002
21302 500000.0000000003
21303 499999.9999999999
21304 499999.9999999999
21305 500000
21306 500000.0000000002
21307 500000.0000000002
21308 499999.9999999995
21309 500000.0000000001
21310 500000.0000000001
21311 500000.0000000003
21312 499999.9999999998
21313 499999.9999999998
21314 500000.0000000003
21315 500000.0000000001
