"energy-check-pressure-inlet-rfile"
"Iteration" "energy-check-pressure-inlet"
("Iteration" "energy-check-pressure-inlet")
20000 499999.9999999998
20001 500000.0000000005
20002 499999.9999999997
20003 500000.0000000003
20004 499999.9999999992
20005 499999.9999999998
20006 500000.0000000001
20007 499999.9999999995
20008 500000.0000000002
20009 500000.0000000001
20010 500000
20011 500000.0000000003
20012 499999.9999999999
20013 500000.0000000001
20014 500000.0000000002
20015 499999.9999999995
20016 499999.9999999998
20017 500000.0000000001
20018 500000.0000000001
20019 500000.0000000003
20020 499999.9999999999
20021 500000.0000000005
20022 500000.0000000001
20023 499999.9999999997
20024 500000.0000000001
20025 499999.9999999999
20026 499999.9999999998
20027 499999.9999999999
20028 500000
20029 499999.9999999997
20030 499999.9999999999
20031 500000
20032 500000
20033 499999.9999999998
20034 500000.0000000003
20035 500000.0000000001
20036 499999.9999999998
20037 500000
20038 500000.0000000001
20039 499999.9999999995
20040 499999.9999999999
20041 500000.0000000005
20042 500000
20043 500000
20044 500000.0000000002
20045 500000.0000000003
20046 500000.0000000001
20047 500000.0000000006
20048 500000.0000000002
20049 500000.0000000001
20050 500000.0000000001
20051 500000.0000000002
20052 499999.9999999998
20053 500000.0000000001
20054 499999.9999999999
20055 500000.0000000003
20056 499999.9999999999
20057 499999.9999999998
20058 499999.9999999999
20059 499999.9999999999
20060 499999.9999999998
20061 500000.0000000003
20062 500000.0000000004
20063 499999.9999999998
20064 500000.0000000002
20065 499999.9999999999
20066 500000.0000000003
20067 500000.0000000002
20068 500000.0000000001
20069 499999.9999999998
20070 499999.9999999999
20071 499999.9999999998
20072 500000.0000000002
20073 499999.9999999995
20074 500000.0000000003
20075 500000
20076 500000.0000000002
20077 500000.0000000002
20078 499999.9999999999
20079 500000.0000000001
20080 500000
20081 499999.9999999999
20082 500000.0000000001
20083 500000.0000000001
20084 500000
20085 500000.0000000003
20086 500000.0000000003
20087 500000.0000000002
20088 500000.0000000001
20089 499999.9999999998
20090 499999.9999999999
20091 500000.0000000003
20092 500000.0000000003
20093 499999.9999999997
20094 499999.9999999998
20095 499999.9999999999
20096 499999.9999999999
20097 499999.9999999999
20098 500000.0000000001
20099 499999.9999999995
20100 499999.9999999998
20101 500000.0000000001
20102 499999.9999999997
20103 500000.0000000004
20104 499999.9999999998
20105 500000.0000000002
20106 500000.0000000003
20107 500000.0000000001
20108 500000.0000000001
20109 499999.9999999999
20110 499999.9999999999
20111 500000.0000000001
20112 500000.0000000001
20113 499999.9999999998
20114 500000
20115 499999.9999999999
20116 500000.0000000001
20117 500000.0000000001
20118 500000.0000000003
20119 499999.9999999998
20120 499999.9999999999
20121 500000.0000000002
20122 500000.0000000001
20123 499999.9999999999
20124 500000.0000000001
20125 499999.9999999999
20126 499999.9999999996
20127 499999.9999999999
20128 500000.0000000001
20129 499999.9999999999
20130 500000.0000000001
20131 499999.9999999999
20132 499999.9999999997
20133 499999.9999999998
20134 500000.0000000001
20135 499999.9999999998
20136 500000.0000000003
20137 500000.0000000001
20138 500000.0000000001
20139 500000.0000000001
20140 500000.0000000001
20141 499999.9999999999
20142 500000.0000000001
20143 500000.0000000001
20144 499999.9999999998
20145 499999.9999999999
20146 499999.9999999998
20147 499999.9999999996
20148 499999.9999999997
20149 499999.9999999996
20150 500000.0000000001
20151 500000
20152 500000
20153 500000.0000000001
20154 499999.9999999999
20155 499999.9999999997
20156 499999.9999999999
20157 499999.9999999998
20158 499999.9999999999
20159 499999.9999999999
20160 500000
20161 499999.9999999999
20162 499999.9999999996
20163 499999.9999999999
20164 499999.9999999997
20165 499999.9999999999
20166 499999.9999999997
20167 499999.9999999998
20168 500000
20169 499999.9999999995
20170 499999.9999999997
20171 499999.9999999999
20172 500000.0000000004
20173 500000.0000000001
20174 499999.9999999998
20175 499999.9999999999
20176 499999.9999999998
20177 500000.0000000003
20178 499999.9999999999
20179 500000.0000000001
20180 499999.9999999997
20181 500000.0000000002
20182 499999.9999999997
20183 499999.9999999999
20184 500000
20185 500000.0000000001
20186 500000.0000000001
20187 500000
20188 499999.9999999997
20189 499999.9999999994
20190 499999.9999999997
20191 499999.9999999999
20192 500000.0000000001
20193 500000
20194 500000
20195 499999.9999999998
20196 500000
20197 500000
20198 499999.9999999996
20199 499999.9999999998
20200 499999.9999999999
20201 500000.0000000002
20202 499999.9999999998
20203 500000.0000000002
20204 500000.0000000005
20205 500000.0000000005
20206 500000.0000000003
20207 500000.0000000001
20208 500000.0000000001
20209 499999.9999999999
20210 499999.9999999998
20211 499999.9999999998
20212 500000.0000000001
20213 499999.9999999997
20214 499999.9999999997
20215 500000.0000000005
20216 500000.0000000002
20217 499999.9999999999
20218 500000.0000000002
20219 499999.9999999998
20220 499999.9999999997
20221 499999.9999999998
20222 499999.9999999999
20223 500000.0000000001
20224 499999.9999999999
20225 500000.0000000007
20226 499999.9999999997
20227 499999.9999999999
20228 500000.0000000002
20229 499999.9999999998
20230 500000.0000000002
20231 500000.0000000003
20232 499999.9999999999
20233 499999.9999999995
20234 499999.9999999997
20235 499999.9999999999
20236 500000.0000000003
20237 499999.9999999999
20238 500000.0000000002
20239 499999.9999999998
20240 499999.9999999999
20241 499999.9999999999
20242 499999.9999999999
20243 500000
20244 499999.9999999994
20245 499999.9999999998
20246 500000.0000000001
20247 499999.9999999994
20248 499999.9999999997
20249 500000.0000000003
20250 499999.9999999997
20251 500000.0000000001
20252 500000
20253 499999.9999999999
20254 500000.0000000001
20255 500000.0000000001
20256 499999.9999999999
20257 500000
20258 500000.0000000001
20259 499999.9999999997
20260 500000.0000000004
20261 500000.0000000002
20262 500000
20263 499999.9999999997
20264 499999.9999999998
20265 500000.0000000002
20266 500000.0000000001
20267 500000.0000000002
20268 500000.0000000003
20269 500000.0000000002
20270 499999.9999999998
20271 499999.9999999997
20272 500000
20273 500000.0000000003
20274 499999.9999999999
20275 499999.9999999999
20276 499999.9999999999
20277 500000
20278 499999.9999999998
20279 500000.0000000003
20280 499999.9999999999
20281 500000.0000000002
20282 499999.9999999999
20283 500000.0000000002
20284 499999.9999999999
20285 500000.0000000001
20286 500000.0000000003
20287 500000.0000000001
20288 499999.9999999996
20289 499999.9999999999
20290 500000.0000000003
20291 500000.0000000003
20292 500000.0000000003
20293 500000.0000000001
20294 500000.0000000003
20295 500000.0000000003
20296 499999.9999999996
20297 499999.9999999995
20298 500000.0000000004
20299 500000.0000000001
20300 500000.0000000001
20301 499999.9999999999
20302 499999.9999999997
20303 499999.9999999999
20304 499999.9999999997
20305 500000
20306 500000
20307 500000.0000000001
20308 500000.0000000004
20309 499999.9999999999
20310 499999.9999999995
20311 500000
20312 499999.9999999999
20313 499999.9999999998
20314 499999.9999999996
20315 499999.9999999997
20316 499999.9999999999
20317 500000.0000000001
20318 500000.0000000001
20319 500000.0000000001
20320 499999.9999999997
20321 500000.0000000004
20322 500000.0000000003
20323 499999.9999999997
20324 500000
20325 499999.9999999995
20326 499999.9999999998
20327 500000.0000000002
20328 499999.9999999998
20329 500000.0000000001
20330 500000
20331 500000.0000000001
20332 500000.0000000003
20333 499999.9999999999
20334 500000.0000000001
20335 499999.9999999999
20336 500000.0000000002
20337 500000.0000000001
20338 500000.0000000002
20339 499999.9999999999
20340 500000.0000000001
20341 500000
20342 499999.9999999999
20343 499999.9999999998
20344 499999.9999999996
20345 500000.0000000001
20346 499999.9999999999
20347 500000.0000000002
20348 499999.9999999998
20349 500000.0000000001
20350 500000
20351 500000.0000000002
20352 500000.0000000001
20353 499999.9999999997
20354 499999.9999999999
20355 499999.9999999999
20356 499999.9999999999
20357 500000.0000000002
20358 499999.9999999999
20359 500000.0000000002
20360 499999.9999999998
20361 499999.9999999996
20362 500000.0000000001
20363 500000.0000000003
20364 499999.9999999999
20365 500000.0000000002
20366 500000
20367 500000.0000000003
20368 500000.0000000003
20369 500000.0000000001
20370 500000
20371 500000.0000000001
20372 500000.0000000001
20373 500000.0000000002
20374 499999.9999999999
20375 499999.9999999999
20376 499999.9999999998
20377 500000.0000000001
20378 499999.9999999995
20379 500000.0000000002
20380 499999.9999999997
20381 500000
20382 500000.0000000003
20383 499999.9999999999
20384 499999.9999999998
20385 499999.9999999997
20386 500000.0000000001
20387 500000.0000000002
20388 499999.9999999999
20389 499999.9999999998
20390 500000.0000000002
20391 500000.0000000005
20392 499999.9999999999
