"out-total-outlet-enthalpy-rfile"
"Iteration" "out-total-outlet-enthalpy"
("Iteration" "out-total-outlet-enthalpy")
20160 486997.7389485852
20161 486998.4846450745
20162 486999.2302986841
20163 486999.9759132913
20164 487000.7214910148
20165 487001.4670321872
20166 487002.2125354451
20167 487002.9579981654
20168 487003.7034170534
20169 487004.4487886727
20170 487005.1941098262
20171 487005.9393777593
20172 487006.6845902424
20173 487007.4297455886
20174 487008.1748426048
20175 487008.9198804546
20176 487009.6648585808
20177 487010.4097766245
20178 487011.1546343672
20179 487011.8994331938
20180 487012.6441765122
20181 487013.3888671634
20182 487014.1335073047
20183 487014.8780981847
20184 487015.6226401296
20185 487016.3671326209
20186 487017.111574517
20187 487017.855964274
20188 487018.6003001712
20189 487019.3445804626
20190 487020.0888035191
20191 487020.8329678942
20192 487021.577069554
20193 487022.3211050776
20194 487023.0650747567
20195 487023.8089789269
20196 487024.5528179629
20197 487025.2965922707
20198 487026.0403022541
20199 487026.7839483079
20200 487027.5275308255
20201 487028.2710501718
20202 487029.0145067074
20203 487029.7579007408
20204 487030.5012325862
20205 487031.2445025009
20206 487031.987710753
20207 487032.7308575663
20208 487033.4739431445
20209 487034.2169676822
20210 487034.9599313764
20211 487035.7028344128
20212 487036.4456769538
20213 487037.1884591294
20214 487037.9311810886
20215 487038.673842951
20216 487039.4164448239
20217 487040.1589868116
20218 487040.9014690073
20219 487041.6438914889
20220 487042.3862543346
20221 487043.1285575696
20222 487043.8708012087
20223 487044.6129853137
20224 487045.3551099477
20225 487046.0971751563
20226 487046.839180977
20227 487047.5811274574
20228 487048.3230146315
20229 487049.0648425105
20230 487049.8066111501
20231 487050.5483205663
20232 487051.2899707931
20233 487052.0315618518
20234 487052.7730937697
20235 487053.5145665673
20236 487054.2559802762
20237 487054.9973349036
20238 487055.7386304708
20239 487056.4798669938
20240 487057.2210444806
20241 487057.9621629477
20242 487058.7032224012
20243 487059.4442228457
20244 487060.185164286
20245 487060.9260467386
20246 487061.6668701795
20247 487062.4076346193
20248 487063.1483400299
20249 487063.8889864212
20250 487064.6295737732
20251 487065.3701020732
20252 487066.1105713018
20253 487066.8509814402
20254 487067.5913324592
20255 487068.3316243343
20256 487069.0718570353
20257 487069.8120305352
20258 487070.5521448069
20259 487071.2921998143
20260 487072.0321955383
20261 487072.7721319399
20262 487073.5120089934
20263 487074.2518266609
20264 487074.9915849116
20265 487075.7312837404
20266 487076.4709231054
20267 487077.2105029899
20268 487077.950023355
20269 487078.689484198
20270 487079.4288854924
20271 487080.1682272187
20272 487080.9075093552
20273 487081.6467318894
20274 487082.3858948025
20275 487083.1249980896
20276 487083.8640417371
20277 487084.603025735
20278 487085.3419500754
20279 487086.0808147438
20280 487086.819619742
20281 487087.5583650692
20282 487088.297050708
20283 487089.0356766628
20284 487089.7742429291
20285 487090.5127495031
20286 487091.2511963815
20287 487091.9895835617
20288 487092.7279110441
20289 487093.46617883
20290 487094.2043869183
20291 487094.9425352773
20292 487095.680623904
20293 487096.4186527861
20294 487097.1566219073
20295 487097.8945312553
20296 487098.632380807
20297 487099.3701705521
20298 487100.1079004433
20299 487100.8455704719
20300 487101.5831805995
20301 487102.3207307986
20302 487103.0582210344
20303 487103.7956512675
20304 487104.5330214574
20305 487105.2703315698
20306 487106.0075815575
20307 487106.7447713323
20308 487107.4819008242
20309 487108.2189699993
20310 487108.9559788103
20311 487109.6929272055
20312 487110.4298151266
20313 487111.1666424968
20314 487111.9034092486
20315 487112.6401153042
20316 487113.3767606131
20317 487114.1133451027
20318 487114.8498687897
20319 487115.5863315844
20320 487116.3227334477
20321 487117.0590743625
20322 487117.7953543047
20323 487118.5315732565
20324 487119.2677312252
20325 487120.0038282289
20326 487120.7398642731
20327 487121.4758393858
20328 487122.211753595
20329 487122.9476069348
20330 487123.6833994472
20331 487124.4191311757
20332 487125.1548021725
20333 487125.8904124903
20334 487126.6259621851
20335 487127.3614513167
20336 487128.0968799382
20337 487128.832248083
20338 487129.5675558166
20339 487130.302803173
20340 487131.0379901829
20341 487131.7731168789
20342 487132.5081832661
20343 487133.2431893592
20344 487133.9781351397
20345 487134.7130206025
20346 487135.4478457149
20347 487136.1826104512
20348 487136.917314756
20349 487137.6519585884
20350 487138.3865418913
20351 487139.1210646256
20352 487139.855526739
20353 487140.5899281689
20354 487141.3242688687
20355 487142.058548788
20356 487142.7927678842
20357 487143.5269261049
20358 487144.2610234113
20359 487144.9950597549
20360 487145.7290351042
20361 487146.4629494222
20362 487147.1968026802
20363 487147.9305948541
20364 487148.6643259376
20365 487149.3979958888
20366 487150.1316047144
20367 487150.8651524072
20368 487151.5986389875
20369 487152.3320644577
20370 487153.06542882
20371 487153.7987321118
20372 487154.5319743573
20373 487155.2651555826
20374 487155.9982758279
20375 487156.7313351168
20376 487157.4643334833
20377 487158.1972709523
20378 487158.930147569
20379 487159.6629633364
20380 487160.3957182919
20381 487161.1284124811
20382 487161.8610459013
20383 487162.5936185684
20384 487163.3261305144
20385 487164.0585815472
20386 487164.7909714809
20387 487165.523300145
20388 487166.2555673656
20389 487166.9877729028
20390 487167.7199165215
20391 487168.451997986
20392 487169.1840170948
20393 487169.9159737275
20394 487170.6478678408
20395 487171.3796994701
20396 487172.1114687224
20397 487172.8431758286
20398 487173.5748210797
20399 487174.3064047807
20400 487175.0379272957
20401 487175.7693889875
20402 487176.5007902273
20403 487177.2321313841
20404 487177.9634127655
20405 487178.6946346633
20406 487179.4257973163
20407 487180.1569009307
20408 487180.8879456612
20409 487181.618931627
20410 487182.3498589012
20411 487183.0807275331
20412 487183.8115375281
20413 487184.542288877
20414 487185.272981571
20415 487186.003615567
20416 487186.7341908205
20417 487187.4647072749
20418 487188.1951648754
20419 487188.9255635575
20420 487189.6559032659
20421 487190.3861839339
20422 487191.1164054959
20423 487191.8465679125
20424 487192.5766711095
20425 487193.3067150391
20426 487194.0366996409
20427 487194.7666248599
20428 487195.4964906661
20429 487196.2262970212
20430 487196.9560438976
20431 487197.6857312513
20432 487198.4153590619
20433 487199.1449273077
20434 487199.8744359774
20435 487200.6038850432
20436 487201.3332744816
20437 487202.0626042878
20438 487202.791874439
20439 487203.5210849225
20440 487204.2502357255
20441 487204.9793268474
20442 487205.7083583067
20443 487206.4373300766
20444 487207.1662421659
20445 487207.8950945595
20446 487208.6238872457
20447 487209.3526202089
20448 487210.0812934265
20449 487210.8099068814
20450 487211.5384605522
20451 487212.2669544226
20452 487212.9953884721
20453 487213.7237626914
20454 487214.4520770627
20455 487215.1803315607
20456 487215.908526168
20457 487216.6366608635
20458 487217.3647356209
20459 487218.092750428
20460 487218.8207052579
20461 487219.5486000797
20462 487220.2764348658
20463 487221.0042095964
20464 487221.7319242747
20465 487222.4595789546
20466 487223.1871736525
20467 487223.9147083847
20468 487224.6421831296
20469 487225.3695978688
20470 487226.0969525782
20471 487226.8242472085
20472 487227.55148173
20473 487228.2786560939
20474 487229.0057702679
20475 487229.7328242153
20476 487230.4598179176
20477 487231.1867513442
20478 487231.9136244823
20479 487232.6404373224
20480 487233.3671898915
20481 487234.0938821769
20482 487234.8205142075
20483 487235.5470860054
20484 487236.2735976016
20485 487237.0000490352
20486 487237.7264403221
20487 487238.4527715208
20488 487239.1790426672
20489 487239.905253802
20490 487240.6314049761
20491 487241.357496221
20492 487242.0835275835
20493 487242.8094991077
20494 487243.5354108205
20495 487244.2612627737
20496 487244.9870549847
20497 487245.7127874944
20498 487246.4384603368
20499 487247.1640735262
20500 487247.8896270967
20501 487248.6151210715
20502 487249.3405554709
20503 487250.0659303223
20504 487250.791245629
20505 487251.5165014178
20506 487252.2416976954
20507 487252.9668344844
20508 487253.6919117963
20509 487254.4169296362
20510 487255.1418880176
20511 487255.8667869437
20512 487256.5916264286
20513 487257.3164064888
20514 487258.0411271295
20515 487258.7657883528
20516 487259.4903901595
20517 487260.2149325635
20518 487260.9394155769
20519 487261.6638391896
20520 487262.3882033986
20521 487263.1125082128
20522 487263.836753617
20523 487264.560939599
20524 487265.2850661661
20525 487266.0091332953
20526 487266.7331409802
20527 487267.4570892088
20528 487268.1809779702
20529 487268.9048072638
20530 487269.6285770748
20531 487270.3522874081
20532 487271.0759382496
20533 487271.7995296195
20534 487272.5230615109
20535 487273.2465339284
20536 487273.9699468769
20537 487274.6933003824
20538 487275.4165944489
20539 487276.1398290886
20540 487276.8630043412
20541 487277.5861202169
20542 487278.3091767597
20543 487279.0321739802
20544 487279.7551119171
20545 487280.477990603
20546 487281.2008100591
20547 487281.9235703322
20548 487282.6462714516
20549 487283.3689134458
20550 487284.091496357
20551 487284.8140201859
20552 487285.5364849743
20553 487286.258890753
20554 487286.9812625301
20555 487287.7036283924
20556 487288.42599738
20557 487289.1483686693
20558 487289.8707430806
20559 487290.5931122368
20560 487291.3154657535
20561 487292.0377936723
20562 487292.7600875831
20563 487293.4823408338
20564 487294.2045483353
20565 487294.9267063596
20566 487295.6488122068
20567 487296.3708639436
20568 487297.0928602113
20569 487297.8148000362
20570 487298.536682736
20571 487299.2585078269
20572 487299.9802749797
20573 487300.7019839461
20574 487301.4236345456
20575 487302.1452266423
20576 487302.8667601492
20577 487303.5882349752
20578 487304.3096510649
20579 487305.0310081453
20580 487305.7523052822
20581 487306.4735427522
20582 487307.1947204876
20583 487307.9158382046
20584 487308.6368955381
20585 487309.3578921279
20586 487310.0788276243
20587 487310.7997017404
20588 487311.5205142878
20589 487312.2412651768
20590 487312.9619544081
20591 487313.6825820478
20592 487314.4031482331
20593 487315.1236531542
20594 487315.8440969977
20595 487316.5644799544
20596 487317.2848021967
20597 487318.0050638965
20598 487318.7252651814
20599 487319.4454061308
20600 487320.1654868048
20601 487320.8855072309
20602 487321.6054674144
20603 487322.3253673205
20604 487323.0452069204
20605 487323.7649861693
20606 487324.4847050303
20607 487325.2043634399
20608 487325.9239613618
20609 487326.6434987599
20610 487327.362975614
20611 487328.0823919052
20612 487328.8017476283
20613 487329.5210427804
20614 487330.2402773707
20615 487330.9594513866
20616 487331.6785648495
20617 487332.3976177626
20618 487333.1166101578
20619 487333.8355420891
20620 487334.5544136005
20621 487335.2732247678
20622 487335.9919756543
20623 487336.7106663299
20624 487337.4292968453
20625 487338.1478672763
20626 487338.8663776629
20627 487339.584828054
20628 487340.3032184672
20629 487341.021548937
20630 487341.7398194541
20631 487342.4580300153
20632 487343.176180606
20633 487343.8942711967
20634 487344.6123017604
20635 487345.3302722513
20636 487346.0481826292
20637 487346.7660328476
20638 487347.4838228543
20639 487348.2015526314
20640 487348.919222132
20641 487349.6368313284
20642 487350.3543802136
20643 487351.0718687523
20644 487351.7892969351
20645 487352.5066647876
20646 487353.2239723707
20647 487353.9412197738
20648 487354.6584070867
20649 487355.3755344445
20650 487356.0926019441
20651 487356.8096096816
20652 487357.5265577433
20653 487358.2434461893
20654 487358.9602750362
20655 487359.677044308
20656 487360.3937539879
20657 487361.1104040378
20658 487361.8269944066
20659 487362.5435250273
20660 487363.2599958338
20661 487363.9764067722
20662 487364.6927577613
20663 487365.4090487423
20664 487366.1252796658
20665 487366.8414504968
20666 487367.5575611929
20667 487368.2736117163
20668 487368.9896020551
20669 487369.7055321989
20670 487370.421402147
20671 487371.1372119114
20672 487371.8529614893
20673 487372.5686508889
20674 487373.2842801269
20675 487373.999849211
20676 487374.7153581516
20677 487375.4308069578
20678 487376.1461956578
20679 487376.8615242414
20680 487377.5767927347
20681 487378.2920011329
20682 487379.0071494453
20683 487379.7222376869
20684 487380.4372658599
20685 487381.1522339799
20686 487381.8671420697
20687 487382.5819901324
20688 487383.296778191
20689 487384.011506262
20690 487384.7261743692
20691 487385.440782521
20692 487386.1553307406
20693 487386.8698190684
20694 487387.5842475105
20695 487388.2986161733
20696 487389.0129251391
20697 487389.7271745047
20698 487390.4413643252
20699 487391.1554946275
20700 487391.8695654452
20701 487392.5835548411
20702 487393.2974283004
20703 487394.0111794969
20704 487394.7248127477
20705 487395.4383409324
20706 487396.151780235
20707 487396.8651462002
20708 487397.578451606
20709 487398.29170578
20710 487399.0049147755
20711 487399.7180819896
20712 487400.4312088194
20713 487401.1442953016
20714 487401.8573406077
20715 487402.5703434235
20716 487403.28330221
20717 487403.996215395
20718 487404.7090814206
20719 487405.4218988502
20720 487406.1346663794
20721 487406.8473828407
20722 487407.5600472112
20723 487408.2726585972
20724 487408.9852162006
20725 487409.6977193402
20726 487410.4101674199
20727 487411.1225464715
20728 487411.8348451359
20729 487412.5470523969
20730 487413.2591781398
20731 487413.9712364929
20732 487414.6832379547
20733 487415.3951875958
20734 487416.1070862653
20735 487416.8189325284
20736 487417.530724219
20737 487418.2424593804
20738 487418.9541366345
20739 487419.6657551894
20740 487420.3773147278
20741 487421.0888151798
20742 487421.8002566198
20743 487422.5116391565
20744 487423.2229628967
20745 487423.9342279046
20746 487424.6454342165
20747 487425.3565818652
20748 487426.0676708267
20749 487426.7787011187
20750 487427.4896722336
20751 487428.2005721641
20752 487428.9113857767
20753 487429.622099719
20754 487430.3327041487
20755 487431.0431937411
20756 487431.7535756743
20757 487432.4638625159
20758 487433.1740595773
20759 487433.8841709768
20760 487434.5942011688
20761 487435.3041551454
20762 487436.0140380973
20763 487436.7238550576
20764 487437.4336243976
20765 487438.1434280769
20766 487438.8532809495
20767 487439.5631771881
20768 487440.2731045291
20769 487440.983049897
20770 487441.6930014429
20771 487442.4029490583
20772 487443.1128844297
20773 487443.822800816
20774 487444.5326927947
20775 487445.2425560316
20776 487445.9523869483
20777 487446.6621824657
20778 487447.3719398886
20779 487448.0816568896
20780 487448.7913314431
20781 487449.5009617069
20782 487450.2105460315
20783 487450.9200829234
20784 487451.6295710437
20785 487452.3390092048
20786 487453.0483963951
20787 487453.7577317532
20788 487454.4670145909
20789 487455.1762442652
20790 487455.8854200874
20791 487456.5945416117
20792 487457.303608476
20793 487458.0126203832
20794 487458.721577057
20795 487459.4304782769
20796 487460.1393238612
20797 487460.8481136638
20798 487461.5568475687
20799 487462.2655254828
20800 487462.974147346
20801 487463.6827130956
20802 487464.3911936979
20803 487465.0995941247
20804 487465.8079217871
20805 487466.5161815966
20806 487467.2243769059
20807 487467.9325100378
20808 487468.640582622
20809 487469.3485958386
20810 487470.056550537
20811 487470.7644473299
20812 487471.4722866637
20813 487472.1800688586
20814 487472.8877941654
20815 487473.5954627421
20816 487474.30307472
20817 487475.01063017
20818 487475.7181291537
20819 487476.4255717105
20820 487477.132957854
20821 487477.8402876061
20822 487478.5475609861
20823 487479.2547779928
20824 487479.9619386208
20825 487480.6690428827
20826 487481.3760907673
20827 487482.0830822742
20828 487482.7900173995
20829 487483.4968961457
20830 487484.2037184936
20831 487484.9104844354
20832 487485.6171939675
20833 487486.3238470656
20834 487487.0304437157
20835 487487.7369838938
20836 487488.4434675734
20837 487489.1498947119
20838 487489.8562652888
20839 487490.5625792653
20840 487491.2688366018
20841 487491.9750372502
20842 487492.6811811565
20843 487493.3872682838
20844 487494.0932985962
20845 487494.799272041
20846 487495.5051885794
20847 487496.211048156
20848 487496.9168507396
20849 487497.6225962816
20850 487498.3282847474
20851 487499.0339160901
20852 487499.739490275
20853 487500.4450072782
20854 487501.1504670738
20855 487501.8558696309
20856 487502.5612149494
20857 487503.2665030186
20858 487503.9717338476
20859 487504.6769074122
20860 487505.3820237133
20861 487506.087082718
20862 487506.7920844072
20863 487507.4970286835
20864 487508.2019154592
20865 487508.9067442442
20866 487509.6115142262
20867 487510.3162250377
20868 487511.0208764651
20869 487511.7254682226
20870 487512.4300000981
20871 487513.1344719215
20872 487513.8388835834
20873 487514.5432352165
20874 487515.2475267267
20875 487515.9517581831
20876 487516.6559297012
20877 487517.3600414007
20878 487518.0640934055
20879 487518.768085822
20880 487519.4720187312
20881 487520.1758921854
20882 487520.8797062227
20883 487521.5834608457
20884 487522.2871560536
20885 487522.9907918362
20886 487523.6943681622
20887 487524.3978850275
20888 487525.10134242
20889 487525.8047403362
20890 487526.5080787825
20891 487527.2113577857
20892 487527.9145773772
20893 487528.6177375906
20894 487529.3208385002
20895 487530.0238801823
20896 487530.7268626751
20897 487531.4297860319
20898 487532.132650307
20899 487532.8354555411
20900 487533.5382017193
20901 487534.2408888023
20902 487534.9435167225
20903 487535.6460853828
20904 487536.3485946557
20905 487537.0510443831
20906 487537.7534344008
20907 487538.4557645282
20908 487539.1580346704
20909 487539.8602447291
20910 487540.5623946317
20911 487541.2644843591
20912 487541.9665139082
20913 487542.6684833049
20914 487543.3703926119
20915 487544.0722419082
20916 487544.7740312666
20917 487545.4757607639
20918 487546.1774304441
20919 487546.8790403465
20920 487547.5805904962
20921 487548.2820809036
20922 487548.9835115465
20923 487549.684882428
20924 487550.3861935178
20925 487551.0874448079
20926 487551.7886362805
20927 487552.4897679475
20928 487553.1908398143
20929 487553.8918519232
20930 487554.592804114
20931 487555.2936965875
20932 487555.9945294192
20933 487556.6953027144
20934 487557.3960165924
20935 487558.0966711816
20936 487558.7972666404
20937 487559.4978031174
20938 487560.1982807828
20939 487560.8986997746
20940 487561.5990594397
20941 487562.2993580027
20942 487562.9995938321
20943 487563.699765601
20944 487564.3998725143
20945 487565.0999143189
20946 487565.7998913221
20947 487566.4998042576
20948 487567.1996541962
20949 487567.899443948
20950 487568.599177594
20951 487569.298856476
20952 487569.9984814756
20953 487570.6980531784
20954 487571.3975719462
20955 487572.0970379602
20956 487572.7964512848
20957 487573.4958118864
20958 487574.1951196693
20959 487574.894374478
20960 487575.5935761252
20961 487576.2927244152
20962 487576.9918191321
20963 487577.6908600595
20964 487578.3898470514
20965 487579.0887799935
20966 487579.7876587584
20967 487580.4864832457
20968 487581.1852533385
20969 487581.8839689525
20970 487582.5826293232
20971 487583.2812339655
20972 487583.9797823151
20973 487584.6782737437
20974 487585.376707577
20975 487586.0750831766
20976 487586.7733999615
20977 487587.4716573496
20978 487588.1698548167
20979 487588.867991921
20980 487589.5660683357
20981 487590.2640838936
20982 487590.9620385856
20983 487591.659932582
20984 487592.3577662378
20985 487593.0555400294
20986 487593.7532338472
20987 487594.4508425276
20988 487595.1483654571
20989 487595.8458064405
20990 487596.543171934
20991 487597.2404692163
20992 487597.9377051198
20993 487598.6348853045
20994 487599.3320140495
20995 487600.0290943151
20996 487600.7261279213
20997 487601.4231158112
20998 487602.1200582749
20999 487602.8169551929
21000 487603.5138061398
21001 487604.2106105721
21002 487604.9073678579
21003 487605.6040773375
21004 487606.3007383879
21005 487606.9973503975
21006 487607.6939128216
21007 487608.3904251395
21008 487609.0868869067
21009 487609.783297708
21010 487610.4796579029
21011 487611.1759696257
21012 487611.8722320731
21013 487612.5684444965
21014 487613.2646062864
21015 487613.9607168839
21016 487614.6567758421
21017 487615.3527827685
21018 487616.0487373318
21019 487616.7446392511
21020 487617.4404882853
21021 487618.1362842279
21022 487618.8320268859
21023 487619.5277160989
21024 487620.2233517173
21025 487620.9189336085
21026 487621.6144616544
21027 487622.3099357328
21028 487623.0053557668
21029 487623.7007216522
21030 487624.3960333065
21031 487625.0912906512
21032 487625.7864936107
21033 487626.4816421214
21034 487627.1767361383
21035 487627.871775605
21036 487628.5667604682
21037 487629.2616906835
21038 487629.9565662089
21039 487630.6513870071
21040 487631.3461530524
21041 487632.0408643165
21042 487632.7355207492
21043 487633.4301223407
21044 487634.1246690617
21045 487634.8191608877
21046 487635.5135978014
21047 487636.2079797948
21048 487636.9023068448
21049 487637.5965789541
21050 487638.2907961271
21051 487638.9849583668
21052 487639.6790656993
21053 487640.3731181338
21054 487641.067115722
21055 487641.7610584869
21056 487642.4549464752
21057 487643.1487797381
21058 487643.8425419623
21059 487644.5362335665
21060 487645.2298590816
21061 487645.9234216444
21062 487646.6169234395
21063 487647.3103660324
21064 487648.0037505594
21065 487648.6970778536
21066 487649.3903485521
21067 487650.0835631364
21068 487650.7767219639
21069 487651.4698253023
21070 487652.1628733659
21071 487652.8558662991
21072 487653.5488041837
21073 487654.2416870538
21074 487654.9345149001
21075 487655.6272876657
21076 487656.3200052503
21077 487657.0126675059
21078 487657.7052742725
21079 487658.397825359
21080 487659.0903205537
21081 487659.7827596526
21082 487660.475142428
21083 487661.1674686776
21084 487661.8597381905
21085 487662.5519507757
21086 487663.2441062731
21087 487663.9362045233
21088 487664.6282454027
21089 487665.3202287934
21090 487666.0121546196
21091 487666.7040227996
21092 487667.3958332938
21093 487668.087586056
21094 487668.779281082
21095 487669.4709183751
21096 487670.1624979765
21097 487670.8540199263
21098 487671.5454842857
21099 487672.2368911121
21100 487672.9282404969
21101 487673.6195325141
21102 487674.3107672635
21103 487675.001944843
21104 487675.6930653348
21105 487676.3841288502
21106 487677.0751354831
21107 487677.7660853315
21108 487678.4569784977
21109 487679.1478150643
21110 487679.8385950904
21111 487680.5293188131
21112 487681.2199916434
21113 487681.910618946
21114 487682.6012052935
21115 487683.2917538093
21116 487683.9822657877
21117 487684.6727405236
21118 487685.3631754956
21119 487686.0535667927
21120 487686.7439096997
21121 487687.4341991949
21122 487688.124430456
21123 487688.8145991531
21124 487689.5047016563
21125 487690.1947351194
21126 487690.8846974731
21127 487691.5745874028
21128 487692.2644041935
21129 487692.9541477186
21130 487693.6438182864
21131 487694.3334165203
21132 487695.0229433116
21133 487695.7123997034
21134 487696.4017868628
21135 487697.0911059944
21136 487697.780358318
21137 487698.4695450179
21138 487699.1586672413
21139 487699.8477259286
21140 487700.5367217432
21141 487701.225654963
21142 487701.9145255251
21143 487702.6033330791
21144 487703.29207714
21145 487703.9807572035
21146 487704.6693728674
21147 487705.3579239094
21148 487706.0464103502
21149 487706.7348324326
21150 487707.4231906306
21151 487708.1114856262
21152 487708.7997182249
21153 487709.4878893548
21154 487710.1760000139
21155 487710.8640510351
21156 487711.5520431282
21157 487712.2399768638
21158 487712.927852324
21159 487713.615669385
21160 487714.3034278775
21161 487714.9911275909
21162 487715.6787683523
21163 487716.3663500344
21164 487717.053872617
21165 487717.7413362236
21166 487718.4287411088
21167 487719.116087661
21168 487719.803376388
21169 487720.4906079149
21170 487721.1777828805
21171 487721.864901982
21172 487722.5519659099
21173 487723.2389753333
21174 487723.9259308613
21175 487724.6128330568
21176 487725.2996824179
21177 487725.9864793404
21178 487726.6732241847
21179 487727.3599172067
21180 487728.0465585979
21181 487728.7331484976
21182 487729.4196869786
21183 487730.1061740683
21184 487730.7926097409
21185 487731.4789939346
21186 487732.1653265796
21187 487732.8516075634
21188 487733.5378367405
21189 487734.2240139802
21190 487734.9101391323
21191 487735.5962120212
21192 487736.2822325013
21193 487736.9682003863
21194 487737.6541155267
21195 487738.3399777547
21196 487739.0257869008
21197 487739.711542821
21198 487740.3972453605
21199 487741.0828943742
21200 487741.7684897084
21201 487742.4540312472
21202 487743.1395188486
21203 487743.8249523623
21204 487744.5103316684
21205 487745.1956566188
21206 487745.8809270659
21207 487746.5661428441
21208 487747.251303772
21209 487747.9364096459
21210 487748.621460236
21211 487749.3064552922
21212 487749.9913945282
21213 487750.6762776406
21214 487751.3611043239
21215 487752.0458742478
21216 487752.7305870767
21217 487753.4152424822
21218 487754.0998401325
21219 487754.7843796933
21220 487755.4688608715
21221 487756.153283377
21222 487756.8376469198
21223 487757.5219512733
21224 487758.2061962225
21225 487758.8903815883
21226 487759.5745072057
21227 487760.2585730854
21228 487760.9425790728
21229 487761.6265250903
21230 487762.3104111243
21231 487762.9942372265
21232 487763.6780034756
21233 487764.361709966
21234 487765.0453568232
21235 487765.7289441362
21236 487766.4124720296
21237 487767.0959405872
21238 487767.7793498872
21239 487768.4626999778
21240 487769.1459909165
21241 487769.8292227138
21242 487770.5123953983
21243 487771.1955089722
21244 487771.8785634413
21245 487772.5615588261
21246 487773.2444951436
21247 487773.9273724137
21248 487774.6101906798
21249 487775.2929499895
21250 487775.975650394
21251 487776.6582919664
21252 487777.3408747811
21253 487778.0233989195
21254 487778.7058644739
21255 487779.388271546
21256 487780.0706202099
21257 487780.7529105904
21258 487781.4351427853
21259 487782.1173168945
21260 487782.7994330185
21261 487783.4814912803
21262 487784.1634917625
21263 487784.8454345794
21264 487785.5273198271
21265 487786.2091476055
21266 487786.8909179942
21267 487787.5726310877
21268 487788.2542869647
21269 487788.9358856981
21270 487789.6174273698
21271 487790.2989120304
